Similarity,MinPts,Epsilon,Cluster,Noise,Silhouette
jaccard,2,0.2,243,6404,-0.14550908485507258
jaccard,2,0.3,301,5948,-0.12078056089125157
jaccard,2,0.4,306,5234,-0.15278811582968554
jaccard,2,0.5,328,3618,-0.15306378302247506
jaccard,2,0.6,150,1217,-0.12454869059058624
jaccard,2,0.7,64,259,-0.024049720576464192
jaccard,2,0.8,30,130,0.06376365731603297
jaccard,2,0.9,14,84,0.06329337900192468
jaccard,3,0.2,92,6706,-0.130743442003021
jaccard,3,0.3,128,6294,-0.09882467201564257
jaccard,3,0.4,129,5588,-0.13954824902627277
jaccard,3,0.5,129,4016,-0.13347425676841365
jaccard,3,0.6,64,1389,-0.04874054407308041
jaccard,3,0.7,26,335,0.034910933001654244
jaccard,3,0.8,12,166,0.06255017090913302
jaccard,3,0.9,4,104,0.06231921536011947
jaccard,5,0.2,34,6903,-0.10697698228121705
jaccard,5,0.3,53,6575,-0.10334511623744329
jaccard,5,0.4,44,5950,-0.12117777461054902
jaccard,5,0.5,45,4485,-0.09740202923287818
jaccard,5,0.6,28,1680,-0.009047987455884804
jaccard,5,0.7,11,438,0.054183868363055644
jaccard,5,0.8,3,217,0.06267647355443912
jaccard,5,0.9,2,113,0.06177286772481748
jaccard,10,0.2,15,7027,-0.07276698297709788
jaccard,10,0.3,19,6812,-0.0713713127182886
jaccard,10,0.4,20,6211,-0.03920593420313
jaccard,10,0.5,17,4976,-0.005717517537703249
jaccard,10,0.6,5,2161,0.030044126937566095
jaccard,10,0.7,2,633,0.05875689867666747
jaccard,10,0.8,1,288,0.062074234084317746
jaccard,10,0.9,1,129,0.061173048563066726
jaccard,30,0.2,2,7226,0.020695334399567656
jaccard,30,0.3,5,7096,-0.015946680508312615
jaccard,30,0.4,8,6795,-0.024841385744921677
jaccard,30,0.5,7,5824,-0.056136378384693854
jaccard,30,0.6,4,3134,-0.01170846980561789
jaccard,30,0.7,1,1062,0.06071706478994544
jaccard,30,0.8,1,406,0.06282680465607957
jaccard,30,0.9,1,155,0.061381390321969896
dice,2,0.2,316,5733,-0.21753699673915966
dice,2,0.3,314,4444,-0.2579218068019745
dice,2,0.4,205,1818,-0.23453946954445445
dice,2,0.5,83,417,-0.08291884327294467
dice,2,0.6,43,163,0.09540275503643975
dice,2,0.7,30,117,0.10095956432925005
dice,2,0.8,15,88,0.10530179482554446
dice,2,0.9,4,63,0.10427517006466024
dice,3,0.2,133,6099,-0.20042897477869145
dice,3,0.3,117,4838,-0.21918461726236346
dice,3,0.4,87,2054,-0.17786125735120223
dice,3,0.5,37,509,0.04760019128869356
dice,3,0.6,20,209,0.09635752888917692
dice,3,0.7,12,153,0.10392416028937215
dice,3,0.8,4,110,0.10514643750791015
dice,3,0.9,2,67,0.10380331204316338
dice,5,0.2,53,6387,-0.14517956650365435
dice,5,0.3,46,5244,-0.19522382083340578
dice,5,0.4,31,2450,-0.10712472091671396
dice,5,0.5,17,644,0.06458972489278726
dice,5,0.6,9,272,0.09965680421128603
dice,5,0.7,2,200,0.1055660637693212
dice,5,0.8,2,122,0.1046515926158571
dice,5,0.9,1,76,0.10338760919081388
dice,10,0.2,19,6692,-0.11410653836479494
dice,10,0.3,18,5628,-0.07800116003082012
dice,10,0.4,9,3096,-0.09663575409193015
dice,10,0.5,3,926,0.08121262157636654
dice,10,0.6,2,418,0.10426106349566722
dice,10,0.7,1,241,0.10536561524613124
dice,10,0.8,1,148,0.10433010159068626
dice,10,0.9,1,78,0.1034104035306704
dice,30,0.2,5,7054,-0.032413790107109326
dice,30,0.3,3,6356,0.018758479514980265
dice,30,0.4,2,4086,0.02605315004864255
dice,30,0.5,1,1558,0.09101473965087271
dice,30,0.6,1,625,0.10719910196317589
dice,30,0.7,1,335,0.10640095811437739
dice,30,0.8,1,170,0.10461748770215466
dice,30,0.9,1,84,0.10349514171433603
